h	一
hh	二
hhh	三
hhhh	亖
hhhhzn	弎
hhhhzn	弐
hhhs	丰
hhhshhhszhh	彗
hhhshhhszhhnppn	熭
hhhshhhszhhnznn	慧
hhhshpszh	砉
hhhshpszhss	剨
hhhshnz	匤
hhhshz	匡
hhhshzzs	邼
hhhshzzp	劻
hhhspn	耒
hhhspnhhshszhhhpn	耫
hhhspnhhsshszshh	耩
hhhspnhhps	耕
hhhspnhhzn	耘
hhhspnhs	耓
hhhspnhsshszhh	耤
hhhspnhsspsnhhhshzn	耯
hhhspnhssnzzp	耢
hhhspnhphhzpnhsn	耨
hhhspnhpszhhhpn	頛
hhhspnhpszhhnznznnpzn	耰
hhhspnhzhz	耟
hhhspnspnp	耖
hhhspnsnpszszh	耥
hhhspnszhhh	耝
hhhspnszhhhzp	耡
hhhspnszhhszhszph	耬
hhhspnszhhszshn	耦
hhhspnszhzh	耜
hhhspnphhz	耗
hhhspnpnhszh	耠
hhhspnpnhszhss	耣
hhhspnnhszsshsnhpnpzpn	耲
hhhspnnhphspnhspnhpszh	耱
hhhspnnhnpnznhzp	耪
hhhspnnphspnzph	耧
hhhspnnppnnppnnzzp	耮
hhhspnzsh	耔
hhhspnzshz	耙
hhhspnzpszh	耞
hhhspnzpszn	耚
hhhspnznszh	耛
hhhspnzznzznhpnzpn	耭
hhhspzzshz	艳
hhhszhhhpnzn	貳
hhhszphspn	栔
hhhszphpn	契
hhhszpshshpnpnhpnpnzs	齧
hhhszpszhshn	蛪
hhhszpszpn	洯
hhhszpphhs	挈
hhhszppzpzhhs	觢
hhhszpnzn	贰
hhhszpnznn	恝
hhhszpzznspn	絜
hhhphsn	寿
hhhphsnnnnn	焘
hhhpszhzshz	邫
hhhpnhhs	奉
hhhpnhhpn	奏
hhhpnsnhpn	泰
hhhpnszhh	春
hhhpnszhhszhshnszhshn	蠢
hhhpnszhhnznn	惷
hhhpnphspn	秦
hhhpnpshzhh	舂
hhhpnpshzhhnznn	憃
hhhpzs	邦
hhhpzsszs	帮
hhhpzspszhhszs	幚
hhhzn	弍
hhs	亍
hhs	于
hhs	干
hhsh	王
hhshhhhs	玤
hhshhhhpnhhs	琫
hhshhhhpnszhh	瑃
hhshhhhpnphspn	瑧
hhshhhs	玕
hhshhhs	玗
hhshhhsh	玨
hhshhhshhhshnznpn	璱
hhshhhshhspn	琹
hhshhhshhzpz	琵
hhshhhshshzn	珷
hhshhhshpn	珡
hhshhhshpnnz	琴
hhshhhshn	珏
hhshhhshnznpn	瑟
hhshhhshzshz	琶
hhshhhshzpphpn	璈
hhshhhshzznhn	瑇
hhshhhpsnzn	琎
hhshhhpn	玞
hhshhhpnhhpnszhhhpn	瓉
hhshhhpz	玩
hhshhhzs	玮
hhshhs	玎
hhshhsh	玒
hhshhshhsh	珪
hhshhshhsznnnn	瑪
hhshhshszsshszhhhpn	瓄
hhshhshpszhh	琽
hhshhshppz	珯
hhshhshzhshhszhhsn	璹
hhshhshzhshhszhhsnnnnn	瓙
hhshhshzn	珐
hhshhsshh	玵
hhshhsshhh	珥
hhshhsshhhpn	琪
hhshhsshhhpnhsh	璂
hhshhsshhhzs	瑘
hhshhsshhsshhs	璍
hhshhsshshznszssh	瓂
hhshhsshszhhhsh	瑾
hhshhsshszhshpn	璜
hhshhsshszspnpn	璊
hhshhsshpn	珙
hhshhsshz	玴
hhshhsshzzhszhsh	璢
hhshhssszhszhpsnhhhsh	瓘
hhshhssszhpn	瑛
