h	一
s	丨
s	亅
p	丿
n	丶
n	乀
n	乁
z	乙
z	乚
z	乛
hh	二
hs	丁
hs	丅
hs	十
hp	丆
hp	厂
hz	丂
hz	七
hz	匚
hz	匸
sh	丄
ss	刂
sn	卜
sz	冂
ps	亻
pn	乂
pn	人
pn	入
pn	八
pz	九
pz	儿
pz	几
pz	勹
pz	匕
nh	亠
nh	冫
np	丷
nz	冖
nz	讠
zh	刁
zs	丩
zs	了
zs	凵
zs	卩
zs	阝
zp	乃
zp	刀
zp	力
zn	乄
zn	厶
zn	又
zn	廴
zz	乜
zz	巜
hhh	三
hhs	亍
hhs	于
hhs	干
hhz	亏
hhz	亐
hsh	土
hsh	士
hsh	工
hsh	扌
hss	卄
hss	艹
hsp	才
hsn	下
hsn	寸
hps	丌
hps	廾
hpn	丈
hpn	大
hpz	兀
hpz	尢
hzh	与
hzp	万
hzn	夨
hzn	弋
shh	上
spn	小
spz	凣
szh	口
szh	囗
szs	山
szs	巾
phs	千
phz	乇
phz	乞
pss	川
psz	亿
pps	彳
ppp	彡
ppz	凢
pnh	亼
pns	个
pnp	乊
pnn	亽
pnz	亾
pnz	兦
pzs	亇
pzp	犭
pzn	丸
pzn	久
pzn	么
pzn	凡
pzn	勺
pzn	及
pzn	夂
pzn	夊
pzn	夕
pzz	饣
nhs	丬
nhp	广
nhz	亡
nsz	门
nps	丫
npn	义
nnh	氵
nns	忄
nnz	宀
nzn	之
nzn	辶
zhh	彐
zhs	卂
zhp	尸
zhz	己
zhz	已
zhz	巳
zhz	弓
zsh	卫
zsh	子
zsh	孑
zsh	孒
zss	屮
zsn	卪
zsn	孓
zsz	也
zph	女
zpn	乆
zpn	刃
zpn	刄
zpn	飞
zpz	劜
znh	习
znn	叉
zzh	彑
zzh	纟
zzh	马
zzp	乡
zzn	幺
zzz	巛
hhhh	亖
hhhs	丰
hhsh	王
hhps	亓
hhps	井
hhps	开
hhpn	天
hhpn	夫
hhpz	元
hhpz	无
hhzs	韦
hhzn	专
hhzn	云
hhzn	弌
hshp	耂
hshn	圡
hshz	丐
hshz	圠
hshz	扎
hssh	廿
hssz	艺
hspn	木
hspn	朩
hsnz	乤
hszh	五
hszs	巿
hszs	帀
hszs	邒
hszn	支
hszz	丏
hphs	厅
hpss	卅
hpsn	不
hpsz	冇
hppn	仄
hpnn	太
hpnn	犬
hpnz	区
hpzp	历
hpzn	厷
hpzn	友
hpzn	尤
hpzn	歹
